date,load,temperature,,
23/01/2019 21:00,1770.01,26,,
23/01/2019 22:00,1756.88,25.6,,
23/01/2019 23:00,1756.88,25.8,,
24/01/2019 0:00,1730.63,26.8,,
24/01/2019 1:00,1745.94,27.6,,
24/01/2019 2:00,1800.64,26.1,,
24/01/2019 3:00,1735,26.6,,
24/01/2019 4:00,1735,25.8,,
24/01/2019 5:00,1859.72,25.8,,
24/01/2019 6:00,1731.87,26.8,,
24/01/2019 7:00,1698.9,25.7,,
24/01/2019 8:00,1717.5,26.6,,
24/01/2019 9:00,1817.58,26.3,,
24/01/2019 10:00,1745.05,27.4,,
24/01/2019 11:00,1720.88,24.2,,
24/01/2019 12:00,1731.87,25.4,,
24/01/2019 13:00,1743.76,25.6,,
24/01/2019 14:00,1791.89,25.6,,
24/01/2019 15:00,1708.75,27.5,,
24/01/2019 16:00,1765.64,27.6,,
24/01/2019 17:00,1738.46,26.9,,
24/01/2019 18:00,1791.89,24.9,,
24/01/2019 19:00,1764.83,26.2,,
24/01/2019 20:00,1749.45,26.8,,
24/01/2019 21:00,1741.57,26.7,,
24/01/2019 22:00,1780.22,27.4,,
24/01/2019 23:00,1786.81,28.4,,
25/01/2019 0:00,1751.65,27,,
25/01/2019 1:00,1710.94,27.9,,
25/01/2019 2:00,1753.84,26.2,,
25/01/2019 3:00,1802.2,25.9,,
25/01/2019 4:00,1763.45,26,,
25/01/2019 5:00,1896.7,25.6,,
25/01/2019 6:00,1738.46,25.8,,
25/01/2019 7:00,1819.78,26.8,,
25/01/2019 8:00,1762.64,27.6,,
25/01/2019 9:00,1770.01,26.1,,
25/01/2019 10:00,1813.19,26.6,,
25/01/2019 11:00,1731.87,25.8,,
25/01/2019 12:00,1733.95,25.8,,
25/01/2019 13:00,1768.76,26.8,,
25/01/2019 14:00,1702.43,25.7,,
25/01/2019 15:00,1702.43,26.6,,
25/01/2019 16:00,1710.02,26.3,,
25/01/2019 17:00,1722.1,27.4,,
25/01/2019 18:00,1726.47,24.2,,
